"TP","FN","FP","TN","accuracy","sensitivity_recall","specificity","precision","prevalence","detection_prevalence","detection_rate","F1","balanced_accuracy","scenario","model"
67,40,32,17,0.538461538461538,0.626168224299065,0.346938775510204,0.676767676767677,0.685897435897436,0.634615384615385,0.429487179487179,0.650485436893204,0.486553499904635,"S1","xgboost"
68,39,34,15,0.532051282051282,0.635514018691589,0.306122448979592,0.666666666666667,0.685897435897436,0.653846153846154,0.435897435897436,0.650717703349282,0.47081823383559,"S2","xgboost"
79,28,33,16,0.608974358974359,0.738317757009346,0.326530612244898,0.705357142857143,0.685897435897436,0.717948717948718,0.506410256410256,0.721461187214612,0.532424184627122,"S3","xgboost"
66,41,35,14,0.512820512820513,0.616822429906542,0.285714285714286,0.653465346534653,0.685897435897436,0.647435897435897,0.423076923076923,0.634615384615385,0.451268357810414,"S1","C5.0"
89,18,41,8,0.621794871794872,0.831775700934579,0.163265306122449,0.684615384615385,0.685897435897436,0.833333333333333,0.57051282051282,0.751054852320675,0.497520503528514,"S2","C5.0"
81,26,33,16,0.621794871794872,0.757009345794392,0.326530612244898,0.710526315789474,0.685897435897436,0.730769230769231,0.519230769230769,0.733031674208145,0.541769979019645,"S3","C5.0"
57,50,31,18,0.480769230769231,0.532710280373832,0.36734693877551,0.647727272727273,0.685897435897436,0.564102564102564,0.365384615384615,0.584615384615385,0.450028609574671,"S1","rf"
49,58,30,19,0.435897435897436,0.457943925233645,0.387755102040816,0.620253164556962,0.685897435897436,0.506410256410256,0.314102564102564,0.526881720430108,0.422849513637231,"S2","rf"
70,37,29,20,0.576923076923077,0.654205607476635,0.408163265306122,0.707070707070707,0.685897435897436,0.634615384615385,0.448717948717949,0.679611650485437,0.531184436391379,"S3","rf"
48,59,17,32,0.512820512820513,0.448598130841121,0.653061224489796,0.738461538461539,0.685897435897436,0.416666666666667,0.307692307692308,0.558139534883721,0.550829677665459,"S1","svmRadial"
107,0,48,1,0.692307692307692,1,0.0204081632653061,0.690322580645161,0.685897435897436,0.993589743589744,0.685897435897436,0.816793893129771,0.510204081632653,"S2","svmRadial"
92,15,30,19,0.711538461538462,0.85981308411215,0.387755102040816,0.754098360655738,0.685897435897436,0.782051282051282,0.58974358974359,0.803493449781659,0.623784093076483,"S3","svmRadial"
