"variable","scenario_id"
"summary_segments_lengt_max","S1"
"summary_segments_variability_max","S1"
"summary_segments_dynamics_max","S1"
"summary_segments_dynamics_min","S1"
"summary_segments_mse_mean","S1"
"summary_segments_lengt_mean","S1"
"summary_segments_summary_intensity_q75","S1"
"summary_segments_mse_max","S1"
"summary_segments_summary_intensity_max","S1"
"summary_segments_dynamics_count","S1"
"protoforms_short_Most_trends_are_time_middle","S2"
"protoforms_extended_Most_time_beginning_trends_are_dynamics_decreasing","S2"
"protoforms_extended_Most_duration_short_trends_are_time_middle","S2"
"protoforms_extended_Most_dynamics_decreasing_trends_are_duration_long","S2"
"protoforms_extended_Most_variability_low_trends_are_time_middle","S2"
"protoforms_extended_Most_dynamics_decreasing_trends_are_variability_high","S2"
"protoforms_extended_Most_dynamics_constant_trends_are_time_middle","S2"
"protoforms_extended_Most_dynamics_increasing_trends_are_duration_long","S2"
"protoforms_extended_Most_variability_high_trends_are_time_ending","S2"
"protoforms_extended_Most_dynamics_decreasing_trends_are_time_middle","S2"
"summary_segments_lengt_max","S3"
"summary_segments_variability_max","S3"
"summary_segments_dynamics_max","S3"
"summary_segments_dynamics_min","S3"
"summary_segments_mse_mean","S3"
"protoforms_short_Most_trends_are_time_middle","S3"
"protoforms_extended_Most_time_beginning_trends_are_dynamics_decreasing","S3"
"protoforms_extended_Most_duration_short_trends_are_time_middle","S3"
"protoforms_extended_Most_dynamics_decreasing_trends_are_duration_long","S3"
"protoforms_extended_Most_variability_low_trends_are_time_middle","S3"
