protoform;DoT;Type;id;label
Most trends are variability_low;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are duration_short;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are dynamics_decreasing;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are time_beginning;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are variability_medium;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are duration_medium;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are dynamics_constant;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are time_middle;0.22780329596154175;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are variability_high;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are duration_long;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are dynamics_increasing;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most trends are time_ending;0.0;1.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are variability_low;1.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are variability_medium;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are variability_high;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are dynamics_decreasing;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are dynamics_constant;1.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are dynamics_increasing;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are time_beginning;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are time_middle;0.1100350104217925;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_short trends are time_ending;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are variability_low;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are variability_medium;1.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are variability_high;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are dynamics_decreasing;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are dynamics_constant;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are dynamics_increasing;0.3123391851259232;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are time_beginning;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are time_middle;0.1798026416616313;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_medium trends are time_ending;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_long trends are variability_low;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_long trends are variability_medium;0.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_long trends are variability_high;1.0;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
Most duration_long trends are dynamics_decreasing;0.2956427011005703;2.0;QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
